Date/Time,CPU Usage %,Temperature C
2022-03-22 02:08:01.050798,0.5,36.5
2022-03-22 02:08:11.321654,0.8,36.5
2022-03-22 02:08:21.629034,0.7,35.5
2022-03-22 02:08:32.162873,0.4,36
2022-03-22 02:08:42.649075,1,36
2022-03-22 02:08:52.891141,1.7,36
2022-03-22 02:09:11.164566,1.2,36
2022-03-22 02:09:21.399598,0.4,36.5
2022-03-22 02:09:31.665904,0.4,36.5
2022-03-22 02:09:41.978146,0.9,36
2022-03-22 02:09:52.210793,0.3,35
2022-03-22 02:10:02.460901,0.7,36.5
2022-03-22 02:10:12.686947,0.3,37
2022-03-22 02:10:22.960812,2.1,36.5
2022-03-22 02:10:37.310438,1.3,36
2022-03-22 02:10:47.590467,0.5,36.5
2022-03-22 02:10:57.800787,0.3,36
2022-03-22 02:11:08.050163,0.6,35
2022-03-22 02:11:18.314262,0.3,36
2022-03-22 02:11:28.574622,0.3,35.5
2022-03-22 02:11:38.851886,0.4,35
2022-03-22 02:11:49.208686,0.6,36.5
2022-03-22 02:11:59.498204,0.5,36.5
2022-03-22 02:12:09.767109,0.5,36
2022-03-22 02:12:20.030510,0.4,37
2022-03-22 02:12:30.382300,0.7,36
2022-03-22 02:12:40.638335,1,36.5
2022-03-22 02:12:50.891719,0.4,36
2022-03-22 02:13:01.150785,0.5,36.5
2022-03-22 02:13:11.418224,0.3,36.5
2022-03-22 02:13:21.670344,0.5,35.5
2022-03-22 02:13:32.026121,0.4,36
2022-03-22 02:13:42.318386,0.9,37.4
2022-03-22 02:13:52.685491,0.3,35.5
2022-03-22 02:14:02.942301,0.6,35
2022-03-22 02:14:13.207379,0.3,37
2022-03-22 02:14:23.476260,0.5,35
2022-03-22 02:14:33.710540,0.4,35.5
2022-03-22 02:14:43.994300,0.7,36.5
2022-03-22 02:14:54.264323,0.5,35.5
2022-03-22 02:15:04.539267,0.5,36.5
2022-03-22 02:15:14.824704,0.5,36.5
2022-03-22 02:15:25.129379,0.4,35
2022-03-22 02:15:35.411517,0.5,36
2022-03-22 02:15:45.722255,0.6,36.5
2022-03-22 02:15:56.012892,0.4,35.5
2022-03-22 02:16:06.283147,0.5,35.5
2022-03-22 02:16:16.554896,0.4,35
2022-03-22 02:16:26.790275,0.4,35.5
2022-03-22 02:16:37.062411,0.6,35.5
2022-03-22 02:16:47.454582,0.7,36
2022-03-22 02:16:57.719079,0.5,37
2022-03-22 02:17:07.974186,0.7,36
2022-03-22 02:17:18.254656,0.4,36
2022-03-22 02:17:28.514750,0.4,36
2022-03-22 02:17:38.806236,0.7,36
2022-03-22 02:17:49.247627,0.9,36.5
2022-03-22 02:17:59.540936,0.5,36.5
2022-03-22 02:18:09.830280,0.4,36
2022-03-22 02:18:20.111823,0.5,36.5
2022-03-22 02:18:30.367655,0.5,36
2022-03-22 02:18:40.642062,0.9,36
2022-03-22 02:18:51.146538,0.3,36.5
2022-03-22 02:19:01.394568,0.5,36
2022-03-22 02:19:11.624333,0.5,36
2022-03-22 02:19:21.894056,0.6,36
2022-03-22 02:19:32.261848,0.4,35
2022-03-22 02:19:42.504638,0.8,36.5
2022-03-22 02:19:52.750730,0.6,36.5
2022-03-22 02:20:03.075272,0.5,35.5
2022-03-22 02:20:13.356374,0.5,35.5
2022-03-22 02:20:23.611567,0.4,36
2022-03-22 02:20:33.880792,0.5,36.5
2022-03-22 02:20:44.156190,0.8,36
2022-03-22 02:20:54.414054,0.3,36.5
2022-03-22 02:21:04.673921,0.6,36.5
2022-03-22 02:21:14.938865,0.4,37
2022-03-22 02:21:25.210804,2.4,36
2022-03-22 02:21:35.458644,1.5,36
2022-03-22 02:21:45.867707,0.8,35.5
2022-03-22 02:21:56.301335,0.7,35.5
2022-03-22 02:22:06.568256,0.4,36
2022-03-22 02:22:16.870058,0.7,36
2022-03-22 02:22:27.134124,0.4,35.5
2022-03-22 02:22:37.418693,0.6,36
2022-03-22 02:22:47.694348,0.8,36.5
2022-03-22 02:22:57.955492,0.4,37.4
2022-03-22 02:23:08.379484,0.3,35.5
2022-03-22 02:23:18.618619,0.5,35.5
2022-03-22 02:23:28.875734,0.4,36
2022-03-22 02:23:39.157536,0.5,35
2022-03-22 02:23:49.386375,0.7,35.5
2022-03-22 02:23:59.858901,0.5,35.5
2022-03-22 02:24:10.166411,0.4,35.5
2022-03-22 02:24:20.442796,0.5,36.5
2022-03-22 02:24:30.668697,0.4,36.5
2022-03-22 02:24:40.943703,0.8,36.5
2022-03-22 02:24:51.234516,0.6,37.4
2022-03-22 02:25:01.478488,0.5,35.5
2022-03-22 02:25:11.730462,0.4,35
2022-03-22 02:25:22.002481,0.4,36
2022-03-22 02:25:32.288332,0.6,34.5
2022-03-22 02:25:42.538507,1.3,35.5
2022-03-22 02:25:52.806385,0.3,36.5
2022-03-22 02:26:03.105945,0.4,36.5
2022-03-22 02:26:13.381401,0.4,36
2022-03-22 02:26:23.622108,0.4,36.5
2022-03-22 02:26:33.873528,0.4,35.5
2022-03-22 02:26:44.154283,0.9,36
2022-03-22 02:26:54.426626,0.2,35.5
2022-03-22 02:27:04.714256,0.6,36
2022-03-22 02:27:14.962457,0.3,36
2022-03-22 02:27:25.240891,0.4,36
2022-03-22 02:27:35.601663,0.5,37
2022-03-22 02:27:45.914346,0.8,35.5
2022-03-22 02:27:56.248678,0.3,35.5
2022-03-22 02:28:06.553543,0.6,36
2022-03-22 02:28:16.910219,0.5,35.5
2022-03-22 02:28:27.225840,0.5,36
2022-03-22 02:28:37.554162,0.5,35.5
2022-03-22 02:28:47.813878,0.6,36
2022-03-22 02:28:58.089204,0.7,35
2022-03-22 02:29:08.622089,0.5,36
2022-03-22 02:29:18.894220,0.4,36.5
2022-03-22 02:29:29.182001,0.4,35
2022-03-22 02:29:39.578417,0.8,36
2022-03-22 02:29:49.826326,0.3,35.5
2022-03-22 02:30:00.106275,0.5,36
2022-03-22 02:30:10.496830,0.7,35.5
2022-03-22 02:30:20.754493,0.4,35.5
2022-03-22 02:30:31.026362,0.5,35.5
2022-03-22 02:30:41.286417,0.8,35.5
2022-03-22 02:30:51.562252,0.3,36
2022-03-22 02:31:01.909835,0.6,36
2022-03-22 02:31:12.424724,0.8,36.5
2022-03-22 02:31:22.682408,0.4,35.5
2022-03-22 02:31:32.939969,0.4,36
2022-03-22 02:31:43.194139,0.8,35
2022-03-22 02:31:53.563345,0.4,35.5
2022-03-22 02:32:03.826300,0.6,36.5
2022-03-22 02:32:14.217115,0.4,35.5
2022-03-22 02:32:24.497335,0.5,36
2022-03-22 02:32:34.994380,0.5,36
2022-03-22 02:32:45.359575,0.9,35.5
2022-03-22 02:32:55.705693,0.3,35
2022-03-22 02:33:06.081587,0.6,36
2022-03-22 02:33:16.438204,0.5,35.5
2022-03-22 02:33:26.779086,0.5,36
2022-03-22 02:33:37.098343,0.4,37
2022-03-22 02:33:47.534781,0.7,35.5
2022-03-22 02:33:57.878648,0.5,35.5
2022-03-22 02:34:08.225237,0.5,35.5
2022-03-22 02:34:18.662077,0.6,36
2022-03-22 02:34:28.970956,0.4,36
2022-03-22 02:34:39.227460,0.5,36
2022-03-22 02:34:49.565937,0.7,36
2022-03-22 02:34:59.911529,0.5,36
2022-03-22 02:35:10.219606,0.4,36
2022-03-22 02:35:20.546260,0.3,35.5
2022-03-22 02:35:30.906101,0.5,35.5
2022-03-22 02:35:41.178580,1,35.5
2022-03-22 02:35:51.444522,0.4,36.5
2022-03-22 02:36:01.778401,0.5,35.5
2022-03-22 02:36:12.129048,0.4,35.5
2022-03-22 02:36:22.517718,0.4,36.5
2022-03-22 02:36:32.869556,0.6,36
2022-03-22 02:36:43.148244,0.9,36
2022-03-22 02:36:53.436698,0.3,37
